,,,,,,
CourseName,Location,DateFrom,DateTo,Attendees,,
HACCP (German),Budapest,2016-10-24,2016-10-28,2,,
New Investigative Techniques - Advanced B2,Madrid,2016-10-24,2016-10-27,1,,
Animal Welfare (In Hen Laying),Unknown;UK,2016-10-25,2016-10-28,2,,
Import Controls on Food and Feed of Non-Animal Origin,Riga,2016-10-25,2016-10-28,3,,
Auditing Plastic Recycling Processes,Leipzig;Germany,2016-10-25,2016-10-28,2,,
Contingency Planning,Cardiff;UK,2016-11-07,2016-11-11,2,,
Audit A,Amsterdam;Netherlands,2016-11-07,2016-11-11,2,,
Animal identification registration and traceability,Ljubljana,2016-11-07,2016-11-11,1,,
Food Additives Type 1,Athens;Greece,2016-11-07,2016-11-11,1,,
Food Hygiene and Flexibility,Turin;Italy,2016-11-07,2016-11-11,2,,
Foodborne Outbreaks Investigations,Berlin;Germany,2016-11-07,2016-11-11,1,,
Border Inspection Post,Vienna,2016-11-08,2016-11-11,3,,
Animal Welfare (In Pig Production),Unknown;Italy,2016-11-15,2016-11-18,1,,
Traces (USE AT INTRA-EU TRADE OF LIVE ANIMALS),Torino,2016-11-15,2016-11-18,2,,
Audit B2 - Advanced Level,Berlin,2016-11-21,2016-11-25,2,,
Prevention Control and Eradication of Transmissible Spongiform Encephalopathies,Ljubljana;SI,2016-11-22,2016-11-25,2,,
HACCP,Valencia,2016-11-28,2016-12-02,2,,
Workshop on Fishery Products (FVO),Grange;Ireland,2016-12-01,2015-12-03,3,,
Contingency Planning,Venice;IT,2016-12-05,2016-12-09,2,,
Animal identification registration and traceability,Lisbon;Portugal,2016-12-05,2016-12-09,1,,
Audit A,Seville;Spain,2016-12-12,2016-12-16,1,,
CONTROL OF ZOONOSES AND PREVENTION AND MONITORING OF ANTI-MICROBIAL RESISTANCE IN THE FOOD CHAIN (AMR),Athens;Greece,2016-12-13,2016-12-16,1,,
Food Additives Type 2,Trim;Ireland,2017-01-23,2017-01-27,3,,
Food Hygiene and Flexibility,Barcelona,2017-02-06,2017-02-10,1,,
Auditing Plastic Recycling Processes,Treviso;Italy,2017-02-07,2017-02-10,2,,
CONTROL OF ZOONOSES AND PREVENTION AND MONITORING OF ANTI-MICROBIAL RESISTANCE IN THE FOOD CHAIN (Zoon),Venice;Italy,2017-02-13,2017-02-16,1,,
Contingency Planning,Venice;IT,2017-03-06,2017-03-10,3,,
Audit B1 - Standard Level,Valencia,2017-03-06,2017-03-10,2,,
Audit A,Bratislava,2017-03-20,2017-03-24,1,,
Food Hygiene and Flexibility,Zagreb/Helsinki,2017-03-20,2017-03-24,2,,
Animal Health and Disease Prevention for Bees and Zoo Animals,Antwerp,2017-03-28,2017-03-31,2,,
